trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qnn_8_fake_sherbrooke,qnn,8,fake_sherbrooke,20000,0.05978409999999999,0.0536,0.059725,0.06598375
qnn_8_fake_torino,qnn,8,fake_torino,20000,0.0578838,0.0524475,0.05789999999999999,0.06358124999999999
qnn_9_fake_fez,qnn,9,fake_fez,20000,0.08272660000000001,0.07711625000000001,0.08285000000000001,0.0887075
qnn_9_fake_kyiv,qnn,9,fake_kyiv,20000,0.0875782,0.08147375,0.08775,0.09347625
qnn_9_fake_marrakesh,qnn,9,fake_marrakesh,20000,0.0808672,0.0754,0.080925,0.08685000000000001
qnn_9_fake_sherbrooke,qnn,9,fake_sherbrooke,20000,0.08638290000000001,0.08092125,0.08625,0.09227875
qnn_9_fake_torino,qnn,9,fake_torino,20000,0.0845607,0.07897125,0.08455,0.09078624999999999
random_10_fake_fez,random,10,fake_fez,20000,0.11346879999999998,0.10750000000000001,0.11345,0.11927625
random_10_fake_kyiv,random,10,fake_kyiv,20000,0.125332,0.11982375,0.125425,0.13119999999999998
random_10_fake_marrakesh,random,10,fake_marrakesh,20000,0.107959,0.1021,0.10794999999999999,0.11382624999999999
random_10_fake_sherbrooke,random,10,fake_sherbrooke,20000,0.12485149999999999,0.11907375,0.124875,0.13077625
random_10_fake_torino,random,10,fake_torino,20000,0.12115909999999999,0.11474999999999999,0.1212,0.12803124999999999
random_11_fake_fez,random,11,fake_fez,20000,0.17448289999999997,0.16862125,0.17455,0.1804525
random_11_fake_kyiv,random,11,fake_kyiv,20000,0.17631579999999997,0.17029750000000002,0.17625000000000002,0.1824
random_11_fake_marrakesh,random,11,fake_marrakesh,20000,0.1711625,0.16557375,0.17122500000000002,0.1766525
